Manufacturer,Manufacturer_Part_Number,Description,Product_URL,Outer_Diameter,Inner_Diameter,Length,Efficiency,Filter_Type,Filter_Style,Filter_Family,Brand,Media_Type,OEM_Manufacturer,OEM_Part_Number,OEM_Notes,Equipment_Application,Alternative_Donaldson_Code,Alternative_Description,Scraped_At,Competitor_Code_Used
Donaldson,P150695,"FILTRO DE AIRE, PRIMARIO KONEPAC",https://shop.donaldson.com/store/es-us/product/P150695/15683?_requestid=15417565,10.62 Pulgadas (269.8 MM),6.61 Pulgadas (167.8 MM),28.02 Pulgadas (711.7 MM),99.9,Primario,Cone,ECG,Konepac™,Cellulose,AC DELCO,A1140C,,,,,2026-01-10T05:22:48.725Z,57MD42M
Donaldson,P150695,"FILTRO DE AIRE, PRIMARIO KONEPAC",https://shop.donaldson.com/store/es-us/product/P150695/15683?_requestid=15417565,10.62 Pulgadas (269.8 MM),6.61 Pulgadas (167.8 MM),28.02 Pulgadas (711.7 MM),99.9,Primario,Cone,ECG,Konepac™,Cellulose,AMERICAN PARTS,94882,,,,,2026-01-10T05:22:48.725Z,57MD42M
Donaldson,P150695,"FILTRO DE AIRE, PRIMARIO KONEPAC",https://shop.donaldson.com/store/es-us/product/P150695/15683?_requestid=15417565,10.62 Pulgadas (269.8 MM),6.61 Pulgadas (167.8 MM),28.02 Pulgadas (711.7 MM),99.9,Primario,Cone,ECG,Konepac™,Cellulose,BIG A,94882,,,,,2026-01-10T05:22:48.725Z,57MD42M
Donaldson,P150695,"FILTRO DE AIRE, PRIMARIO KONEPAC",https://shop.donaldson.com/store/es-us/product/P150695/15683?_requestid=15417565,10.62 Pulgadas (269.8 MM),6.61 Pulgadas (167.8 MM),28.02 Pulgadas (711.7 MM),99.9,Primario,Cone,ECG,Konepac™,Cellulose,CATERPILLAR,3I0405,,,,,2026-01-10T05:22:48.725Z,57MD42M
Donaldson,P150695,"FILTRO DE AIRE, PRIMARIO KONEPAC",https://shop.donaldson.com/store/es-us/product/P150695/15683?_requestid=15417565,10.62 Pulgadas (269.8 MM),6.61 Pulgadas (167.8 MM),28.02 Pulgadas (711.7 MM),99.9,Primario,Cone,ECG,Konepac™,Cellulose,CUMMINS,01402464,,,,,2026-01-10T05:22:48.725Z,57MD42M
Donaldson,P150695,"FILTRO DE AIRE, PRIMARIO KONEPAC",https://shop.donaldson.com/store/es-us/product/P150695/15683?_requestid=15417565,10.62 Pulgadas (269.8 MM),6.61 Pulgadas (167.8 MM),28.02 Pulgadas (711.7 MM),99.9,Primario,Cone,ECG,Konepac™,Cellulose,,,,FREIGHTLINER FL112 - - - Camión - - - DETROIT DIESEL SERIES 60 - - - Ver productos  »,,,2026-01-10T05:22:48.725Z,57MD42M
Donaldson,P150695,"FILTRO DE AIRE, PRIMARIO KONEPAC",https://shop.donaldson.com/store/es-us/product/P150695/15683?_requestid=15417565,10.62 Pulgadas (269.8 MM),6.61 Pulgadas (167.8 MM),28.02 Pulgadas (711.7 MM),99.9,Primario,Cone,ECG,Konepac™,Cellulose,,,,FREIGHTLINER FLA - - - Camión - - - CUMMINS NTC855 - - - Ver productos  »,,,2026-01-10T05:22:48.725Z,57MD42M
Donaldson,P150695,"FILTRO DE AIRE, PRIMARIO KONEPAC",https://shop.donaldson.com/store/es-us/product/P150695/15683?_requestid=15417565,10.62 Pulgadas (269.8 MM),6.61 Pulgadas (167.8 MM),28.02 Pulgadas (711.7 MM),99.9,Primario,Cone,ECG,Konepac™,Cellulose,,,,FREIGHTLINER FLA - - - Camión - - - CUMMINS N14 - - - Ver productos  »,,,2026-01-10T05:22:48.725Z,57MD42M
Donaldson,P150695,"FILTRO DE AIRE, PRIMARIO KONEPAC",https://shop.donaldson.com/store/es-us/product/P150695/15683?_requestid=15417565,10.62 Pulgadas (269.8 MM),6.61 Pulgadas (167.8 MM),28.02 Pulgadas (711.7 MM),99.9,Primario,Cone,ECG,Konepac™,Cellulose,,,,FREIGHTLINER FLA - - - Camión - - - CATERPILLAR 3406 - - - Ver productos  »,,,2026-01-10T05:22:48.725Z,57MD42M
Donaldson,P150695,"FILTRO DE AIRE, PRIMARIO KONEPAC",https://shop.donaldson.com/store/es-us/product/P150695/15683?_requestid=15417565,10.62 Pulgadas (269.8 MM),6.61 Pulgadas (167.8 MM),28.02 Pulgadas (711.7 MM),99.9,Primario,Cone,ECG,Konepac™,Cellulose,,,,,DBA5047,"FILTRO DE AIRE, PRIMARIO KONEPAC DONALDSON BLUE",2026-01-10T05:22:48.725Z,57MD42M
